Title,Description,Priority,Status,Assignee,Labels,Estimate,Created,Completed
"Dashboard - KPIs en temps réel","Développer le tableau de bord principal avec CA et revenus nets.",High,Done,"Yassir Chirawi",Dashboard,,2026-05-01,2026-05-12
"Dashboard - Forecasting & Prédictions ML","Intégration de modèles pour les prédictions de ventes.",High,Done,"Yassir Chirawi",Dashboard;AI,,2026-05-01,2026-05-12
"Orders - Cycle de vie des commandes","Gestion complète du workflow OMS (création, expédition, livraison).",Urgent,Done,"Yassir Chirawi",Orders,,2026-05-01,2026-05-12
"Orders - Audit Log Automatique","Traçabilité des actions pour les administrateurs.",Medium,Done,"Yassir Chirawi",Orders;Security,,2026-05-01,2026-05-12
"Orders - Gestion des Retours","Module de traitement et de suivi des retours.",High,Done,"Yassir Chirawi",Orders,,2026-05-01,2026-05-12
"Beya3 - Copilot Chat & Actions","Intégration IA conversationnelle pour la gestion de la boutique.",High,Done,"Yassir Chirawi",Beya3;AI,,2026-05-01,2026-05-12
"Beya3 - CFO Simulator","Simulation et conseils financiers par l'IA.",High,Done,"Yassir Chirawi",Beya3;AI,,2026-05-01,2026-05-12
"Catalogue - Gestion Produits & Stock","CRUD produits et suivi unifié des stocks.",Urgent,Done,"Yassir Chirawi",Catalogue,,2026-05-01,2026-05-12
"Catalogue - Multi-Entrepôts","Prise en charge de la gestion d'inventaire sur plusieurs dépôts.",High,Done,"Yassir Chirawi",Catalogue,,2026-05-01,2026-05-12
"Logistique - O-Livraison & Sendit","Intégration des APIs de coursiers (O-Livraison, Sendit).",Urgent,Done,"Yassir Chirawi",Logistique,,2026-05-01,2026-05-12
"Logistique - App Livreur","Application PWA dédiée aux livreurs internes.",High,Done,"Yassir Chirawi",Logistique,,2026-05-01,2026-05-12
"Logistique - Tracking Public","Lien public permettant aux clients de suivre leur commande.",Medium,Done,"Yassir Chirawi",Logistique,,2026-05-01,2026-05-12
"CRM - Fiche Client 360°","Vue détaillée et historique complet par client.",High,Done,"Yassir Chirawi",CRM,,2026-05-01,2026-05-12
"CRM - Segmentation AI","Catégorisation intelligente des clients par l'IA.",Medium,Done,"Yassir Chirawi",CRM;AI,,2026-05-01,2026-05-12
"PWA - Mode Hors-ligne","Configuration Service Worker pour l'accès sans connexion.",Medium,Done,"Yassir Chirawi",PWA,,2026-05-01,2026-05-12
"PWA - Biometric Lock","Verrouillage biométrique de l'application.",Medium,Done,"Yassir Chirawi",PWA;Security,,2026-05-01,2026-05-12
"Hardening - Production Infrastructure","Finalisation infra, statut No Answer et relance WhatsApp.",High,Done,"Yassir Chirawi",Hardening,,2026-05-01,2026-05-13
"Hardening - Documentation Standards","Mise à jour structurée des README et CONTRIBUTING.",Medium,Done,"Yassir Chirawi",Documentation,,2026-05-01,2026-05-13
"Hardening - Localization Stability","i18n, nettoyage UI et stabilité.",Medium,Done,"Yassir Chirawi",Hardening,,2026-05-01,2026-05-13
"Hardening - Dashboard Stability","Nettoyage final, résolution des avertissements linter.",High,Done,"Yassir Chirawi",Hardening,,2026-05-01,2026-05-14
"Dashboard - Alerts & Notifications","Système de notifications en temps réel pour le staff.",Medium,Todo,"Yassir Chirawi",Dashboard,,2026-05-14,
"Beya3 - Voice Command","Intégration de la commande vocale (useVoiceCopilot).",Medium,Todo,"Yassir Chirawi",Beya3;AI,,2026-05-14,
"Catalogue - AI Stock Optimizer","Optimisation automatique des niveaux de stock (Roadmap v1.1).",High,Todo,"Yassir Chirawi",Catalogue;AI,,2026-05-14,
"CRM - Nqat (Fidélisation)","Programme de fidélité et points Nqat (Roadmap v1.1).",High,Todo,"Yassir Chirawi",CRM,,2026-05-14,
"Finances - COD Réconciliation auto","Rapprochement automatique du Cash on Delivery (Roadmap v1.1).",High,Todo,"Yassir Chirawi",Finances,,2026-05-14,
"Global - Multi-langue (Arabe Darija)","Support complet de l'arabe dialectal (Roadmap v1.5).",Medium,Todo,"Yassir Chirawi",Localization,,2026-05-14,
"Logistique - WMS Multi-entrepôts","Système avancé de gestion d'entrepôts (Roadmap v1.2).",Medium,Todo,"Yassir Chirawi",Logistique,,2026-05-14,
"Catalogue - Public Catalog 2.0","Intégration du Checkout pour le catalogue public (Roadmap v1.2).",Medium,Todo,"Yassir Chirawi",Catalogue,,2026-05-14,
"Global - App Mobile Native","Portage de l'application avec Capacitor (Roadmap v2.0).",Low,Todo,"Yassir Chirawi",Mobile,,2026-05-14,
"Global - Benchmarking Maroc","Comparaison anonymisée des statistiques locales (Roadmap v2.0).",Low,Todo,"Yassir Chirawi",Analytics,,2026-05-14,
